codigo_ocorrencia;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_registro_segmento;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;aeronave_peso_maximo_decolagem;ocorrencia_classificacao;ocorrencia_uf;ocorrencia_aeronaves_envolvidas;ocorrencia_saida_pista;ocorrencia_ano;ocorrencia_periodo;ocorrencia_tipo
39115;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;BA;1;NÃO;2010;TARDE;PANE SECA
39155;AVIÃO;BEECH AIRCRAFT;TURBOÉLICE;BIMOTOR;PARTICULAR;DECOLAGEM;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;MG;1;NÃO;2010;TARDE;VAZAMENTO DE COMBUSTÍVEL
39156;AVIÃO;AEROSPATIALE AND ALENIA;TURBOÉLICE;BIMOTOR;REGULAR;ARREMETIDA NO AR;LEVE;0;ACIMA 5700KG;INCIDENTE GRAVE;PR;1;NÃO;2010;NOITE;FOGO EM VOO
39158;AVIÃO;BOEING COMPANY;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;ACIMA 5700KG;INCIDENTE;PA;1;NÃO;2010;TARDE;SUPERAQUECIMENTO
39176;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;ACIMA 5700KG;INCIDENTE;MA;1;NÃO;2010;MANHÃ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39178;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2010;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39235;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;AGRÍCOLA;DECOLAGEM;DESTRUÍDA;1;ATÉ 2250KG;ACIDENTE;GO;1;NÃO;2010;TARDE;PERDA DE CONTROLE EM VOO
39275;HELICÓPTERO;EUROCOPTER FRANCE;TURBOEIXO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUÍDA;1;ATÉ 2250KG;ACIDENTE;SP;1;NÃO;2010;MANHÃ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39295;ULTRALEVE;NÃO INFORMADO;PISTÃO;MONOMOTOR;EXPERIMENTAL;APROXIMAÇÃO FINAL;SUBSTANCIAL;2;ATÉ 2250KG;ACIDENTE;RJ;1;NÃO;2010;NOITE;PERDA DE CONTROLE EM VOO
39315;HELICÓPTERO;HELIBRAS;TURBOEIXO;MONOMOTOR;TÁXI AÉREO;CRUZEIRO;NÃO INFORMADO;2;ATÉ 2250KG;ACIDENTE;AM;1;NÃO;2010;NOITE;OUTROS
